"","Plot.ID","Species","n","rel.freq","Class"
"561","SMH8","Red maple",2,"40%","Canopy"
"562","SMH8","Tulip poplar",1,"20%","Canopy"
"563","SMH8","White oak",1,"20%","Canopy"
"564","SMH9","Red maple",1,"9%","Canopy"
"565","SMH9","Red oak",1,"9%","Canopy"
"566","SMH9","Sweet birch",1,"9%","Canopy"
"567","SMH9","Tulip poplar",1,"9%","Canopy"
"568","SMH9","White oak",2,"18%","Canopy"
"569","SMH9","White pine",5,"45%","Canopy"
"570","SMHA","Blackgum",2,"25%","Canopy"
"571","SMHA","Hickory",2,"25%","Canopy"
"572","SMHA","Red maple",2,"25%","Canopy"
"573","SMHA","White oak",2,"25%","Canopy"
"574","SMS1",NA,1,"100%","Canopy"
"575","SMS10",NA,1,"100%","Canopy"
"576","SMS2","Tulip poplar",4,"100%","Canopy"
"577","SMS3","Blackgum",1,"50%","Canopy"
"578","SMS3","Sweet birch",1,"50%","Canopy"
"579","SMS4","Ailanthus",1,"14%","Canopy"
"580","SMS4","Eastern hemlock",1,"14%","Canopy"
"581","SMS4","Sweet birch",1,"14%","Canopy"
"582","SMS4","Tulip poplar",4,"57%","Canopy"
"583","SMS5",NA,1,"100%","Canopy"
"584","SMS6","Ash",2,"22%","Canopy"
"585","SMS6","Hickory",1,"11%","Canopy"
"586","SMS6","Sweet birch",3,"33%","Canopy"
"587","SMS6","Tulip poplar",2,"22%","Canopy"
"588","SMS6","White oak",1,"11%","Canopy"
"589","SMS7","Eastern hemlock",1,"14%","Canopy"
"590","SMS7","Sweet birch",4,"57%","Canopy"
"591","SMS7","Tulip poplar",1,"14%","Canopy"
"592","SMS7","White pine",1,"14%","Canopy"
"593","SMS8",NA,1,"100%","Canopy"
"594","SMS9",NA,1,"100%","Canopy"
"595","WM1","Ailanthus",2,"18%","Canopy"
"596","WM1","Black cherry",1,"9%","Canopy"
"597","WM1","Black walnut",1,"9%","Canopy"
"598","WM1","Red maple",3,"27%","Canopy"
"599","WM1","Tulip poplar",4,"36%","Canopy"
"600","WM10","Blackgum",3,"60%","Canopy"
"601","WM10","Red maple",1,"20%","Canopy"
"602","WM10","Tulip poplar",1,"20%","Canopy"
"603","WM11",NA,1,"100%","Canopy"
"604","WM12","Ailanthus",2,"33%","Canopy"
"605","WM12","Black oak",1,"17%","Canopy"
"606","WM12","Mulberry",1,"17%","Canopy"
"607","WM12","Red maple",1,"17%","Canopy"
"608","WM12","Red oak",1,"17%","Canopy"
"609","WM13","Red maple",1,"17%","Canopy"
"610","WM13","Tulip poplar",1,"17%","Canopy"
"611","WM13","Virginia pine",3,"50%","Canopy"
"612","WM13","White pine",1,"17%","Canopy"
"613","WM14",NA,1,"100%","Canopy"
"614","WM15","Hickory",2,"40%","Canopy"
"615","WM15","Tulip poplar",2,"40%","Canopy"
"616","WM15","White oak",1,"20%","Canopy"
"617","WM2",NA,1,"100%","Canopy"
"618","WM3","Ailanthus",3,"30%","Canopy"
"619","WM3","Tulip poplar",7,"70%","Canopy"
"620","WM4","Blackgum",1,"25%","Canopy"
"621","WM4","Tulip poplar",3,"75%","Canopy"
"622","WM5","Black walnut",1,"33%","Canopy"
"623","WM5","Red maple",1,"33%","Canopy"
"624","WM5","Tulip poplar",1,"33%","Canopy"
"625","WM6","Blackgum",1,"20%","Canopy"
"626","WM6","Hickory",3,"60%","Canopy"
"627","WM6","Red oak",1,"20%","Canopy"
"628","WM7",NA,1,"100%","Canopy"
"629","WM8","Chestnut oak",1,"17%","Canopy"
"630","WM8","Cucumber tree",2,"33%","Canopy"
"631","WM8","Hickory",1,"17%","Canopy"
"632","WM8","Tulip poplar",2,"33%","Canopy"
"633","WM9","Blackgum",1,"25%","Canopy"
"634","WM9","Chestnut oak",3,"75%","Canopy"
