"","Plot.ID","Species","n","rel.freq","Class"
"329","JM16","Tulip poplar",2,"29%","Canopy"
"330","JM16","Walnut",1,"14%","Canopy"
"331","JM17","Hickory",3,"43%","Canopy"
"332","JM17","Sweet birch",2,"29%","Canopy"
"333","JM17","Tulip poplar",2,"29%","Canopy"
"334","JM18",NA,1,"100%","Canopy"
"335","JM2","Black cherry",1,"14%","Canopy"
"336","JM2","Tulip poplar",6,"86%","Canopy"
"337","JM3","Hickory",6,"46%","Canopy"
"338","JM3","Red maple",1,"8%","Canopy"
"339","JM3","Red oak",1,"8%","Canopy"
"340","JM3","Striped maple",4,"31%","Canopy"
"341","JM3","Tulip poplar",1,"8%","Canopy"
"342","JM4","Blackgum",1,"14%","Canopy"
"343","JM4","Chestnut oak",4,"57%","Canopy"
"344","JM4","Sweet birch",1,"14%","Canopy"
"345","JM4","Tulip poplar",1,"14%","Canopy"
"346","JM5",NA,1,"100%","Canopy"
"347","JM6","Black gum",1,"20%","Canopy"
"348","JM6","Tulip poplar",4,"80%","Canopy"
"349","JM7",NA,1,"100%","Canopy"
"350","JM8","Blackgum",3,"30%","Canopy"
"351","JM8","Elm",3,"30%","Canopy"
"352","JM8","Hickory",1,"10%","Canopy"
"353","JM8","Northern red oak",1,"10%","Canopy"
"354","JM8","Walnut",1,"10%","Canopy"
"355","JM8","White oak",1,"10%","Canopy"
"356","JM9","Hickory",3,"30%","Canopy"
"357","JM9","Sweet birch",1,"10%","Canopy"
"358","JM9","Tulip poplar",6,"60%","Canopy"
"359","PT1",NA,1,"100%","Canopy"
"360","PT2",NA,1,"100%","Canopy"
"361","PT3","Blackgum",3,"75%","Canopy"
"362","PT3","Boxelder",1,"25%","Canopy"
"363","PT4","Ailanthus",1,"17%","Canopy"
"364","PT4","Hickory",2,"33%","Canopy"
"365","PT4","Mimosa",1,"17%","Canopy"
"366","PT4","Tulip poplar",1,"17%","Canopy"
"367","PT4","Unknown",1,"17%","Canopy"
"368","PT5",NA,1,"100%","Canopy"
"369","PT6","Ailanthus",2,"50%","Canopy"
"370","PT6","Black cherry",1,"25%","Canopy"
"371","PT6","Tulip poplar",1,"25%","Canopy"
"372","PT7",NA,1,"100%","Canopy"
"373","PT8",NA,1,"100%","Canopy"
"374","PT9","Black cherry",1,"14%","Canopy"
"375","PT9","Black oak",3,"43%","Canopy"
"376","PT9","Dogwood",1,"14%","Canopy"
"377","PT9","Tulip poplar",2,"29%","Canopy"
"378","QW1",NA,1,"100%","Canopy"
"379","QW10","Ailanthus",1,"12%","Canopy"
"380","QW10","Blackgum",2,"25%","Canopy"
"381","QW10","Post oak",3,"38%","Canopy"
"382","QW10","Tulip poplar",1,"12%","Canopy"
"383","QW10","Virginia pine",1,"12%","Canopy"
"384","QW11",NA,1,"100%","Canopy"
"385","QW12",NA,1,"100%","Canopy"
"386","QW13",NA,1,"100%","Canopy"
"387","QW14","White oak",4,"100%","Canopy"
"388","QW2",NA,1,"100%","Canopy"
"389","QW3","Hickory",2,"100%","Canopy"
"390","QW4",NA,1,"100%","Canopy"
"391","QW5",NA,1,"100%","Canopy"
"392","QW6",NA,1,"100%","Canopy"
"393","QW7","Ailanthus",1,"14%","Canopy"
"394","QW7","Sweet birch",1,"14%","Canopy"
"395","QW7","Tulip poplar",5,"71%","Canopy"
"396","QW8","Ailanthus",6,"86%","Canopy"
"397","QW8","Black walnut",1,"14%","Canopy"
"398","QW9","Black cherry",1,"17%","Canopy"
"399","QW9","Eastern redcedar",1,"17%","Canopy"
"400","QW9","Hawthorn",1,"17%","Canopy"
