,Plot.ID,Species,n,rel.freq,Class
247,HW12,Hickory,3,38%,Canopy
248,HW12,Tulip poplar,3,38%,Canopy
249,HW12,Virginia pine,1,12%,Canopy
250,HW12,White oak,1,12%,Canopy
251,HW3,Black locust,1,25%,Canopy
252,HW3,Hickory,1,25%,Canopy
253,HW3,Red maple,1,25%,Canopy
254,HW3,Tulip poplar,1,25%,Canopy
255,HW4,Hickory,1,17%,Canopy
256,HW4,Red maple,1,17%,Canopy
257,HW4,Tulip poplar,1,17%,Canopy
258,HW4,Virginia pine,1,17%,Canopy
259,HW4,White oak,2,33%,Canopy
260,HW7,Blackgum,1,17%,Canopy
261,HW7,Red maple,1,17%,Canopy
262,HW7,Sweet birch,1,17%,Canopy
263,HW7,Tulip poplar,1,17%,Canopy
264,HW7,White oak,1,17%,Canopy
265,HW7,White pine,1,17%,Canopy
266,HW9,Sweet birch,2,25%,Canopy
267,HW9,Tulip poplar,5,62%,Canopy
268,HW9,White oak,1,12%,Canopy
269,JM10,Tulip poplar,7,100%,Canopy
270,JM11,Tulip poplar,6,75%,Canopy
271,JM11,White pine,2,25%,Canopy
272,JM12,Ailanthus,2,50%,Canopy
273,JM12,Sassafras,1,25%,Canopy
274,JM12,Tulip poplar,1,25%,Canopy
275,JM13,Tulip poplar,4,100%,Canopy
276,JM14,Blackgum,1,14%,Canopy
277,JM14,Hickory,6,86%,Canopy
278,JM16,Green ash,1,14%,Canopy
279,JM16,Hickory,1,14%,Canopy
280,JM16,Redbud,2,29%,Canopy
281,JM16,Tulip poplar,2,29%,Canopy
282,JM16,Walnut,1,14%,Canopy
283,JM17,Hickory,3,43%,Canopy
284,JM17,Sweet birch,2,29%,Canopy
285,JM17,Tulip poplar,2,29%,Canopy
286,JM2,Black cherry,1,14%,Canopy
287,JM2,Tulip poplar,6,86%,Canopy
288,JM3,Hickory,6,46%,Canopy
289,JM3,Red maple,1,8%,Canopy
290,JM3,Red oak,1,8%,Canopy
291,JM3,Striped maple,4,31%,Canopy
292,JM3,Tulip poplar,1,8%,Canopy
293,JM4,Blackgum,1,14%,Canopy
294,JM4,Chestnut oak,4,57%,Canopy
295,JM4,Sweet birch,1,14%,Canopy
296,JM4,Tulip poplar,1,14%,Canopy
297,JM6,Black gum,1,20%,Canopy
298,JM6,Tulip poplar,4,80%,Canopy
299,JM8,Blackgum,3,30%,Canopy
300,JM8,Elm,3,30%,Canopy
301,JM8,Hickory,1,10%,Canopy
302,JM8,Northern red oak,1,10%,Canopy
303,JM8,Walnut,1,10%,Canopy
304,JM8,White oak,1,10%,Canopy
305,JM9,Hickory,3,30%,Canopy
306,JM9,Sweet birch,1,10%,Canopy
307,JM9,Tulip poplar,6,60%,Canopy
308,PT3,Blackgum,3,75%,Canopy
309,PT3,Boxelder,1,25%,Canopy
310,PT4,Ailanthus,1,17%,Canopy
311,PT4,Hickory,2,33%,Canopy
312,PT4,Mimosa,1,17%,Canopy
313,PT4,Tulip poplar,1,17%,Canopy
314,PT4,Unknown,1,17%,Canopy
315,PT6,Ailanthus,2,50%,Canopy
316,PT6,Black cherry,1,25%,Canopy
317,PT6,Tulip poplar,1,25%,Canopy
318,PT9,Black cherry,1,14%,Canopy
319,PT9,Black oak,3,43%,Canopy
