Date,Stand Name,Plot ID,Surveyed YN,Species,"0.1-3"" DBH","3-4.9"" DBH",Comments,
10/8/2025,Butler Mtn Archer,BA7,Y,Hickory,40,0,,
10/8/2025,Butler Mtn Archer,BA7,Y,Striped maple,3,0,,
10/8/2025,Butler Mtn Archer,BA7,Y,Red maple,1,0,,
10/8/2025,Butler Mtn Archer,BA7,Y,White oak,5,0,,
10/8/2025,Butler Mtn Archer,BA7,Y,Blackgum,1,0,,
10/8/2025,Butler Mtn Archer,BA8,Y,Hackberry,31,5,,
10/8/2025,Butler Mtn Archer,BA8,Y,Dogwood,1,0,,
10/8/2025,Butler Mtn Archer,BA8,Y,Ash,1,0,,
10/8/2025,Butler Mtn Archer,BA8,Y,Chestnut oak,1,0,,
10/8/2025,Butler Mtn Archer,BA8,Y,Hickory,2,0,,
10/8/2025,Butler Mtn Archer,BA8,Y,Black oak,2,0,,
10/8/2025,Butler Mtn Archer,BA8,Y,Sweet birch,1,0,,
NA,Butler Mtn Archer,BA9,N,NA,NA,NA,,
NA,Ball Hollow Ridge,BH1,N,NA,NA,NA,,
8/12/2025,Ball Hollow Ridge,BH10,Y,N/A,0,0,,
8/12/2025,Ball Hollow Ridge,BH11,Y,N/A,0,0,,
8/12/2025,Ball Hollow Ridge,BH12,Y,N/A,0,0,,
NA,Ball Hollow Ridge,BH2,N,NA,NA,NA,,
NA,Ball Hollow Ridge,BH3,N,NA,NA,NA,,
NA,Ball Hollow Ridge,BH4,N,NA,NA,NA,,
8/12/2025,Ball Hollow Ridge,BH5,Y,Blackgum,1,0,?,
8/12/2025,Ball Hollow Ridge,BH5,Y,Hawthorn,7,1,,
8/12/2025,Ball Hollow Ridge,BH5,Y,Ash,1,0,,
8/12/2025,Ball Hollow Ridge,BH5,Y,Hickory,1,0,,
NA,Ball Hollow Ridge,BH6,N,NA,NA,NA,,
NA,Ball Hollow Ridge,BH7,N,NA,NA,NA,,
8/12/2025,Ball Hollow Ridge,BH8,Y,Hawthorn,1,0,,
8/12/2025,Ball Hollow Ridge,BH9,Y,Ailanthus,0,1,,
8/12/2025,Ball Hollow Ridge,BH9,Y,Hawthorn,1,0,,
8/7/2025,Butler North,BN1,Y,Red maple,3,0,,
8/7/2025,Butler North,BN1,Y,Hickory,2,0,,
8/7/2025,Butler North,BN1,Y,Sweet birch,2,0,One dying,
8/7/2025,Butler North,BN1,Y,Blackgum,1,0,,
8/6/2025,Butler North,BN10,Y,Hickory,14,0,"Bittersweet,Stiltgrass",
8/6/2025,Butler North,BN10,Y,Ash,6,0,,
8/6/2025,Butler North,BN10,Y,Tulip poplar,3,0,,
8/6/2025,Butler North,BN10,Y,Chestnut oak,4,0,,
8/6/2025,Butler North,BN10,Y,Hercules club,5,0,,
8/6/2025,Butler North,BN10,Y,Dogwood,1,0,,
8/6/2025,Butler North,BN10,Y,Sweet birch,1,0,,
8/6/2025,Butler North,BN10,Y,Black oak,2,0,,
8/6/2025,Butler North,BN11,Y,Chestnut oak,0,1,Bent under dead tree,
8/6/2025,Butler North,BN11,Y,Hickory,4,0,Bittersweet,
