OBJECTID,Name,FolderPath,SymbolID,AltMode,Base,Snippet,PopupInfo,HasLabel,LabelID,X,Y
136,RMM2 3,Document,0,-1,0,,,-1,0,-78.19919164,38.59951974
137,GS 8,Document,0,-1,0,,,-1,0,-78.176944,38.542294
138,CR8,Document,0,-1,0,,,-1,0,-78.218016,38.564196
139,FM10,Document,0,-1,0,,,-1,0,-78.19872507,38.62971619
140,SMH10,Document,0,-1,0,,,-1,0,-78.19695439,38.59104837
141,HW6,Document,0,-1,0,,,-1,0,-78.19509545,38.58539033
142,SM9,Document,0,-1,0,,,-1,0,-78.20029856,38.59130149
143,SMS2,Document,0,-1,0,,,-1,0,-78.20517713,38.58267054
144,SL 4,Document,0,-1,0,,,-1,0,-78.19612502,38.61897473
145,BU 8,Document,0,-1,0,,,-1,0,-78.18484856,38.57288159
146,PT2,Document,0,-1,0,,,-1,0,-78.210833,38.63395703
147,SL 10,Document,0,-1,0,,,-1,0,-78.20117628,38.61865812
148,SMH2,Document,0,-1,0,,,-1,0,-78.19707525,38.5934167
149,SM4,Document,0,-1,0,,,-1,0,-78.20667724,38.59024311
150,WM5,Document,0,-1,0,,,-1,0,-78.209635,38.555795
151,QW13,Document,0,-1,0,,,-1,0,-78.19146271,38.57338456
152,SMH6,Document,0,-1,0,,,-1,0,-78.19499268,38.59339084
153,WM9,Document,0,-1,0,,,-1,0,-78.211462,38.553962
154,FM4,Document,0,-1,0,,,-1,0,-78.20431593,38.62630573
155,BU 9,Document,0,-1,0,,,-1,0,-78.18492793,38.56794906
156,BA6,Document,0,-1,0,,,-1,0,-78.187023,38.557048
157,CR2,Document,0,-1,0,,,-1,0,-78.211759,38.564195
158,FL10,Document,0,-1,0,,,-1,0,-78.20475436,38.63386269
159,JM5,Document,0,-1,0,,,-1,0,-78.220543,38.611362
160,HW12,Document,0,-1,0,,,-1,0,-78.19631707,38.58373775
161,WM13,Document,0,-1,0,,,-1,0,-78.218045,38.547809
162,CR6,Document,0,-1,0,,,-1,0,-78.214129,38.565336
163,BH6,Document,0,-1,0,,,-1,0,-78.19030945,38.57946375
164,SMH5,Document,0,-1,0,,,-1,0,-78.19457699,38.59382278
165,SM14,Document,0,-1,0,,,-1,0,-78.2024675,38.59140869
166,BA8,Document,0,-1,0,,,-1,0,-78.190431,38.560391
167,BN7,Document,0,-1,0,,,-1,0,-78.17090039,38.59205283
168,FL4,Document,0,-1,0,,,-1,0,-78.20539943,38.63129704
169,PT4,Document,0,-1,0,,,-1,0,-78.21408207,38.63444792
170,SL 8,Document,0,-1,0,,,-1,0,-78.19564345,38.61477874
171,SMS8,Document,0,-1,0,,,-1,0,-78.19763489,38.58206962
172,SL 2,Document,0,-1,0,,,-1,0,-78.19612753,38.62125195
173,RK4,Document,0,-1,0,,,-1,0,-78.221328,38.550192
174,BN1,Document,0,-1,0,,,-1,0,-78.16694849,38.58688147
175,SMH9,Document,0,-1,0,,,-1,0,-78.19606692,38.59254544
176,CR1,Document,0,-1,0,,,-1,0,-78.209178,38.563254
177,GS 4,Document,0,-1,0,,,-1,0,-78.169895,38.547087
178,SM1,Document,0,-1,0,,,-1,0,-78.20054632,38.5880588
179,SM15,Document,0,-1,0,,,-1,0,-78.20884803,38.59040434
180,FL1,Document,0,-1,0,,,-1,0,-78.20325722,38.63546991
181,FM6,Document,0,-1,0,,,-1,0,-78.20909381,38.62727256
182,QW3,Document,0,-1,0,,,-1,0,-78.18986273,38.56997318
183,JM6,Document,0,-1,0,,,-1,0,-78.220892,38.613015
184,WM12,Document,0,-1,0,,,-1,0,-78.209145,38.557582
185,SL 13,Document,0,-1,0,,,-1,0,-78.19086084,38.61698383
186,BN8,Document,0,-1,0,,,-1,0,-78.16820377,38.58983726
187,BH10,Document,0,-1,0,,,-1,0,-78.18865501,38.58322526
188,RMH 8,Document,0,-1,0,,,-1,0,-78.19751883,38.59819537
189,HW4,Document,0,-1,0,,,-1,0,-78.19673378,38.58442414
190,WM3,Document,0,-1,0,,,-1,0,-78.21383,38.547947
191,CR7,Document,0,-1,0,,,-1,0,-78.21693,38.566307
192,QW4,Document,0,-1,0,,,-1,0,-78.18986592,38.57111013
193,Butler Ctrl,Document,0,-1,0,,,-1,0,-78.17630919,38.58250265
194,BU 10,Document,0,-1,0,,,-1,0,-78.17936884,38.57299552
195,RMM1 1,Document,0,-1,0,,,-1,0,-78.20069803,38.60462082
196,GS 5,Document,0,-1,0,,,-1,0,-78.178616,38.544055
197,SMS5,Document,0,-1,0,,,-1,0,-78.20292261,38.58402713
198,SM5,Document,0,-1,0,,,-1,0,-78.20860482,38.59199634
199,SMS1,Document,0,-1,0,,,-1,0,-78.20704006,38.58395881
